pid,ozone,dzone,purp,mode,min_time,max_time
119,21.0,21.0,other,walk,8.0,11.0
119,21.0,21.0,home,walk,29.0,32.0
120,21.0,1.0,work,bus,8.0,11.0
120,1.0,21.0,home,bus,17.0,20.0
121,36.0,36.0,recreation,car,8.0,11.0
121,36.0,36.0,work,car,11.0,14.0
121,36.0,36.0,market,car,17.0,20.0
122,1.0,15.0,education,bus,11.0,14.0
122,15.0,1.0,home,bus,17.0,20.0
122,1.0,35.0,recreation,train,20.0,23.0
123,25.0,15.0,work,bus,8.0,11.0
123,15.0,25.0,home,bus,17.0,20.0
124,25.0,25.0,recreation,walk,17.0,20.0
124,25.0,28.0,recreation,train,17.0,20.0
125,21.0,36.0,market,bus,14.0,17.0
125,36.0,36.0,recreation,bus,17.0,20.0
125,36.0,36.0,recreation,bus,20.0,23.0
125,36.0,36.0,recreation,bus,23.0,29.0
126,21.0,26.0,recreation,train,17.0,20.0
126,26.0,21.0,home,train,23.0,29.0
127,1.0,1.0,work,walk,14.0,17.0
127,1.0,15.0,work,bus,14.0,17.0
128,2.0,7.0,education,bus,17.0,20.0
128,7.0,2.0,home,bus,20.0,23.0
129,20.0,21.0,work,train,8.0,11.0
129,21.0,21.0,work,car,8.0,11.0
129,21.0,13.0,recreation,car,17.0,20.0
130,2.0,15.0,education,walk,8.0,11.0
130,15.0,2.0,home,walk,14.0,17.0
131,20.0,22.0,work,train,8.0,11.0
131,22.0,20.0,recreation,walk,20.0,23.0
131,20.0,20.0,home,train,41.0,44.0
132,35.0,15.0,work,train,8.0,11.0
132,15.0,1.0,education,train,14.0,17.0
132,1.0,35.0,home,train,20.0,23.0
132,35.0,22.0,recreation,car,20.0,23.0
132,22.0,35.0,home,car,23.0,29.0
133,1.0,5.0,education,train,14.0,17.0
133,5.0,1.0,home,train,20.0,23.0
133,1.0,5.0,recreation,car,20.0,23.0
134,17.0,1.0,work,car,8.0,11.0
134,1.0,29.0,recreation,car,17.0,20.0
134,29.0,14.0,recreation,car,20.0,23.0
134,14.0,17.0,home,car,23.0,29.0
135,15.0,28.0,recreation,bus,14.0,17.0
135,28.0,15.0,home,bus,17.0,20.0
136,17.0,17.0,market,car,17.0,20.0
136,17.0,17.0,recreation,car,17.0,20.0
136,17.0,17.0,home,car,20.0,23.0
137,7.0,29.0,work,car,8.0,11.0
137,29.0,7.0,home,car,17.0,20.0
137,7.0,5.0,education,car,20.0,23.0
138,22.0,15.0,work,car,8.0,11.0
138,15.0,22.0,home,car,17.0,20.0
139,8.0,21.0,market,train,14.0,17.0
139,21.0,22.0,recreation,train,20.0,23.0
139,22.0,8.0,home,taxi,23.0,29.0
140,2.0,15.0,work,bus,8.0,11.0
140,15.0,2.0,home,train,14.0,17.0
140,2.0,11.0,other,train,20.0,23.0
140,11.0,2.0,home,taxi,23.0,29.0
141,2.0,15.0,work,car,11.0,14.0
141,15.0,2.0,home,car,17.0,20.0
142,36.0,35.0,work,motorcycle,8.0,11.0
142,35.0,5.0,education,motorcycle,17.0,20.0
143,22.0,22.0,other,bus,14.0,17.0
143,22.0,22.0,other,taxi,14.0,17.0
144,1.0,13.0,recreation,bus,14.0,17.0
144,13.0,1.0,home,bus,17.0,20.0
145,19.0,31.0,work,car,8.0,11.0
145,31.0,19.0,home,car,17.0,20.0
146,11.0,3.0,work,car,8.0,11.0
146,3.0,11.0,home,car,20.0,23.0
146,11.0,3.0,work,car,32.0,35.0
146,3.0,11.0,home,car,41.0,44.0
147,25.0,28.0,other,car,14.0,17.0
147,28.0,25.0,home,car,14.0,17.0
148,1.0,1.0,work,car,8.0,11.0
148,1.0,1.0,home,car,17.0,20.0
148,1.0,35.0,recreation,car,20.0,23.0
148,35.0,1.0,home,car,23.0,29.0
149,25.0,29.0,work,train,5.0,8.0
149,29.0,4.0,recreation,walk,17.0,20.0
150,16.0,22.0,work,car,8.0,11.0
150,22.0,22.0,work,car,8.0,11.0
150,22.0,16.0,home,car,17.0,20.0
151,15.0,29.0,work,bus,8.0,11.0
151,29.0,2.0,market,bus,17.0,20.0
151,2.0,15.0,home,taxi,20.0,23.0
152,22.0,21.0,work,car,8.0,11.0
152,21.0,22.0,home,car,17.0,20.0
153,22.0,1.0,service,train,8.0,11.0
153,1.0,22.0,home,train,17.0,20.0
154,29.0,29.0,work,car,8.0,11.0
154,29.0,5.0,work,car,11.0,14.0
155,29.0,12.0,work,car,5.0,8.0
155,12.0,12.0,work,car,5.0,8.0
155,12.0,12.0,recreation,car,17.0,20.0
156,20.0,30.0,other,car,17.0,20.0
156,30.0,20.0,other,car,23.0,29.0
156,20.0,15.0,education,car,35.0,38.0
156,15.0,20.0,home,car,38.0,41.0
157,32.0,20.0,work,bus,8.0,11.0
157,20.0,32.0,other,train,11.0,14.0
157,32.0,10.0,work,bus,11.0,14.0
158,24.0,15.0,work,car,5.0,8.0
158,15.0,24.0,home,car,14.0,17.0
159,4.0,15.0,work,bus,8.0,11.0
159,15.0,35.0,work,bus,17.0,20.0
160,25.0,16.0,market,motorcycle,11.0,14.0
160,16.0,16.0,other,car,11.0,14.0
161,21.0,18.0,work,car,8.0,11.0
161,18.0,15.0,market,car,14.0,17.0
161,15.0,5.0,work,car,14.0,17.0
162,2.0,12.0,work,car,8.0,11.0
162,12.0,2.0,home,car,17.0,20.0
163,15.0,22.0,work,car,8.0,11.0
163,22.0,15.0,home,car,17.0,20.0
164,21.0,15.0,work,train,5.0,8.0
164,15.0,21.0,home,train,17.0,20.0
165,22.0,1.0,recreation,train,11.0,14.0
165,1.0,22.0,home,train,17.0,20.0
166,34.0,34.0,recreation,car,17.0,20.0
166,34.0,1.0,other,car,20.0,23.0
167,26.0,25.0,work,motorcycle,8.0,11.0
167,25.0,26.0,home,motorcycle,20.0,23.0
168,7.0,15.0,work,taxi,8.0,11.0
168,15.0,7.0,home,bus,17.0,20.0
168,7.0,1.0,recreation,walk,20.0,23.0
168,1.0,7.0,home,taxi,23.0,29.0
169,36.0,35.0,recreation,car,14.0,17.0
169,35.0,36.0,market,car,17.0,20.0
169,36.0,35.0,education,taxi,35.0,38.0
169,35.0,36.0,home,car,44.0,47.0
170,23.0,35.0,recreation,car,14.0,17.0
170,35.0,3.0,recreation,car,20.0,23.0
170,3.0,23.0,home,car,23.0,29.0
171,19.0,32.0,work,car,8.0,11.0
171,32.0,19.0,home,car,17.0,20.0
171,19.0,32.0,recreation,car,20.0,23.0
172,30.0,25.0,work,walk,11.0,14.0
172,25.0,30.0,home,walk,17.0,20.0
173,30.0,35.0,work,car,8.0,11.0
173,35.0,15.0,recreation,car,17.0,20.0
173,15.0,30.0,home,car,20.0,23.0
173,30.0,30.0,market,walk,20.0,23.0
174,1.0,8.0,work,car,8.0,11.0
174,8.0,30.0,market,car,20.0,23.0
174,30.0,30.0,recreation,walk,23.0,29.0
174,30.0,10.0,other,car,38.0,41.0
175,30.0,30.0,work,walk,11.0,14.0
175,30.0,30.0,work,motorcycle,17.0,20.0
175,30.0,30.0,home,motorcycle,17.0,20.0
175,30.0,30.0,work,motorcycle,17.0,20.0
175,30.0,30.0,home,motorcycle,23.0,29.0
176,32.0,30.0,work,bus,5.0,8.0
176,30.0,30.0,work,bus,14.0,17.0
177,34.0,34.0,recreation,walk,17.0,20.0
177,34.0,2.0,recreation,car,23.0,29.0
178,30.0,17.0,work,car,5.0,8.0
178,17.0,30.0,home,car,14.0,17.0
179,9.0,30.0,work,car,8.0,11.0
179,30.0,30.0,work,car,8.0,11.0
180,5.0,23.0,work,car,8.0,11.0
180,23.0,25.0,work,car,8.0,11.0
181,19.0,2.0,work,train,5.0,8.0
181,2.0,2.0,work,train,5.0,8.0
182,34.0,35.0,other,car,11.0,14.0
182,35.0,34.0,home,car,11.0,14.0
183,28.0,28.0,other,walk,20.0,23.0
183,28.0,25.0,work,walk,32.0,35.0
183,25.0,25.0,recreation,walk,41.0,44.0
183,25.0,25.0,market,bus,41.0,44.0
183,25.0,25.0,other,bus,41.0,44.0
184,2.0,34.0,work,car,5.0,8.0
184,34.0,2.0,home,car,14.0,17.0
185,21.0,21.0,education,train,8.0,11.0
185,21.0,21.0,home,train,17.0,20.0
186,33.0,28.0,work,train,5.0,8.0
186,28.0,22.0,work,train,5.0,8.0
186,22.0,28.0,work,train,14.0,17.0
186,28.0,28.0,recreation,car,17.0,20.0
187,29.0,1.0,work,car,5.0,8.0
187,1.0,29.0,home,car,14.0,17.0
187,29.0,18.0,recreation,car,14.0,17.0
188,35.0,29.0,work,train,8.0,11.0
188,29.0,21.0,work,train,17.0,20.0
189,1.0,1.0,work,bus,8.0,11.0
189,1.0,1.0,home,bus,14.0,17.0
190,34.0,28.0,work,car,5.0,8.0
190,28.0,5.0,work,car,17.0,20.0
191,7.0,28.0,work,train,5.0,8.0
191,28.0,7.0,home,train,17.0,20.0
192,21.0,7.0,work,train,8.0,11.0
192,7.0,21.0,home,train,14.0,17.0
192,21.0,35.0,other,train,20.0,23.0
193,6.0,35.0,other,taxi,17.0,20.0
193,35.0,6.0,home,taxi,20.0,23.0
194,7.0,6.0,work,bus,8.0,11.0
194,6.0,7.0,work,bus,8.0,11.0
194,7.0,7.0,home,bus,17.0,20.0
195,21.0,30.0,work,car,8.0,11.0
195,30.0,21.0,home,car,17.0,20.0
196,12.0,1.0,work,car,5.0,8.0
196,1.0,12.0,market,car,14.0,17.0
196,12.0,12.0,home,car,17.0,20.0
197,21.0,21.0,other,bus,14.0,17.0
197,21.0,35.0,other,bus,17.0,20.0
198,7.0,21.0,work,bus,8.0,11.0
198,21.0,7.0,home,bus,17.0,20.0
199,35.0,1.0,work,car,8.0,11.0
199,1.0,35.0,home,car,17.0,20.0
199,35.0,19.0,service,car,35.0,38.0
199,19.0,1.0,work,car,35.0,38.0
200,30.0,3.0,recreation,car,11.0,14.0
200,3.0,1.0,recreation,walk,14.0,17.0
200,1.0,30.0,home,car,17.0,20.0
201,10.0,8.0,work,car,8.0,11.0
201,8.0,17.0,work,car,17.0,20.0
201,17.0,8.0,recreation,car,20.0,23.0
201,8.0,8.0,recreation,car,20.0,23.0
202,36.0,31.0,work,car,8.0,11.0
202,31.0,14.0,other,car,17.0,20.0
203,9.0,3.0,work,train,5.0,8.0
203,3.0,30.0,market,bus,14.0,17.0
203,30.0,36.0,other,bus,14.0,17.0
204,22.0,1.0,other,car,11.0,14.0
204,1.0,22.0,home,car,11.0,14.0
205,7.0,31.0,work,car,8.0,11.0
205,31.0,31.0,work,car,17.0,20.0
205,31.0,7.0,home,car,17.0,20.0
205,7.0,7.0,market,walk,38.0,41.0
206,5.0,5.0,market,walk,11.0,14.0
206,5.0,5.0,market,walk,11.0,14.0
207,7.0,29.0,work,car,8.0,11.0
207,29.0,7.0,home,car,17.0,20.0
207,7.0,22.0,recreation,car,20.0,23.0
207,22.0,7.0,home,car,20.0,23.0
208,1.0,1.0,market,car,8.0,11.0
208,1.0,11.0,market,car,11.0,14.0
208,11.0,1.0,work,car,20.0,23.0
208,1.0,1.0,home,car,23.0,29.0
209,13.0,22.0,education,train,11.0,14.0
209,22.0,13.0,home,train,11.0,14.0
210,1.0,6.0,recreation,walk,11.0,14.0
210,6.0,26.0,recreation,train,14.0,17.0
210,26.0,1.0,home,train,20.0,23.0
211,2.0,10.0,work,train,8.0,11.0
211,10.0,2.0,home,train,17.0,20.0
212,34.0,34.0,education,bus,14.0,17.0
212,34.0,1.0,education,bus,14.0,17.0
213,28.0,28.0,other,car,11.0,14.0
213,28.0,7.0,other,car,17.0,20.0
213,7.0,28.0,home,car,20.0,23.0
214,18.0,1.0,market,train,14.0,17.0
214,1.0,1.0,recreation,walk,17.0,20.0
214,1.0,2.0,work,train,17.0,20.0
214,2.0,18.0,home,train,23.0,29.0
215,26.0,22.0,work,bus,8.0,11.0
215,22.0,26.0,home,bus,17.0,20.0
215,26.0,32.0,recreation,car,17.0,20.0
215,32.0,30.0,other,car,20.0,23.0
215,30.0,26.0,home,car,23.0,29.0
216,18.0,4.0,work,train,8.0,11.0
216,4.0,18.0,home,train,17.0,20.0
217,18.0,24.0,market,car,8.0,11.0
217,24.0,24.0,recreation,walk,17.0,20.0
218,24.0,28.0,work,car,5.0,8.0
218,28.0,24.0,home,car,14.0,17.0
219,32.0,30.0,work,car,8.0,11.0
219,30.0,28.0,recreation,car,17.0,20.0
219,28.0,28.0,market,car,20.0,23.0
220,28.0,28.0,education,car,8.0,11.0
220,28.0,28.0,recreation,car,17.0,20.0
220,28.0,28.0,recreation,car,20.0,23.0
221,2.0,4.0,work,car,8.0,11.0
221,4.0,24.0,work,car,11.0,14.0
221,24.0,3.0,work,car,11.0,14.0
221,3.0,35.0,work,car,14.0,17.0
222,32.0,4.0,work,car,8.0,11.0
222,4.0,32.0,home,car,17.0,20.0
222,32.0,32.0,other,car,17.0,20.0
223,11.0,11.0,recreation,car,11.0,14.0
223,11.0,17.0,recreation,car,11.0,14.0
224,2.0,25.0,recreation,train,14.0,17.0
224,25.0,2.0,home,walk,17.0,20.0
225,1.0,1.0,recreation,bus,20.0,23.0
225,1.0,12.0,other,car,32.0,35.0
225,12.0,11.0,service,car,41.0,44.0
226,7.0,7.0,work,bus,8.0,11.0
226,7.0,7.0,home,walk,17.0,20.0
226,7.0,1.0,market,walk,17.0,20.0
227,7.0,31.0,work,motorcycle,8.0,11.0
227,31.0,1.0,work,motorcycle,8.0,11.0
227,1.0,30.0,recreation,motorcycle,20.0,23.0
228,22.0,22.0,recreation,car,11.0,14.0
228,22.0,5.0,recreation,car,14.0,17.0
228,5.0,22.0,home,car,17.0,20.0
229,28.0,6.0,work,car,8.0,11.0
229,6.0,18.0,education,car,14.0,17.0
229,18.0,30.0,education,car,14.0,17.0
229,30.0,28.0,home,car,17.0,20.0
230,35.0,35.0,recreation,walk,20.0,23.0
230,35.0,35.0,home,walk,20.0,23.0
231,14.0,1.0,work,train,8.0,11.0
231,1.0,1.0,recreation,train,20.0,23.0
232,5.0,1.0,work,car,8.0,11.0
232,1.0,5.0,home,car,17.0,20.0
232,5.0,5.0,market,car,17.0,20.0
233,4.0,28.0,work,car,8.0,11.0
233,28.0,4.0,home,car,17.0,20.0
234,3.0,3.0,recreation,train,0.0,5.0
234,3.0,1.0,market,bus,11.0,14.0
235,22.0,1.0,work,train,8.0,11.0
235,1.0,22.0,home,train,14.0,17.0
236,14.0,28.0,work,train,8.0,11.0
236,28.0,24.0,work,train,8.0,11.0
236,24.0,16.0,other,train,17.0,20.0
237,25.0,25.0,other,walk,5.0,8.0
237,25.0,1.0,work,train,8.0,11.0
237,1.0,25.0,other,train,11.0,14.0
237,25.0,31.0,other,car,11.0,14.0
237,31.0,25.0,home,car,11.0,14.0
238,5.0,1.0,work,bus,8.0,11.0
238,1.0,5.0,home,bus,17.0,20.0
239,12.0,30.0,work,car,5.0,8.0
239,30.0,35.0,work,car,8.0,11.0
240,25.0,1.0,work,train,8.0,11.0
240,1.0,25.0,home,train,14.0,17.0
241,21.0,21.0,work,bicycle,8.0,11.0
241,21.0,21.0,home,bicycle,17.0,20.0
242,32.0,16.0,work,train,5.0,8.0
242,16.0,32.0,home,train,14.0,17.0
243,25.0,22.0,work,car,5.0,8.0
243,22.0,25.0,home,car,14.0,17.0
244,7.0,22.0,work,car,11.0,14.0
244,22.0,1.0,market,walk,17.0,20.0
245,31.0,28.0,recreation,car,8.0,11.0
245,28.0,31.0,home,car,17.0,20.0
245,31.0,22.0,recreation,car,20.0,23.0
246,7.0,2.0,recreation,bus,14.0,17.0
246,2.0,7.0,home,walk,17.0,20.0
247,32.0,35.0,work,car,5.0,8.0
247,35.0,28.0,work,car,14.0,17.0
248,7.0,3.0,work,walk,5.0,8.0
248,3.0,7.0,home,walk,14.0,17.0
248,7.0,34.0,recreation,walk,17.0,20.0
248,34.0,1.0,recreation,walk,20.0,23.0
249,10.0,26.0,work,car,11.0,14.0
249,26.0,1.0,work,walk,11.0,14.0
249,1.0,1.0,work,car,14.0,17.0
250,1.0,1.0,recreation,walk,17.0,20.0
250,1.0,22.0,other,car,17.0,20.0
251,9.0,1.0,work,car,8.0,11.0
251,1.0,9.0,home,car,17.0,20.0
252,19.0,1.0,work,train,8.0,11.0
252,1.0,19.0,home,train,17.0,20.0
253,21.0,1.0,work,car,8.0,11.0
253,1.0,21.0,home,car,20.0,23.0
253,21.0,1.0,work,walk,35.0,38.0
254,35.0,35.0,recreation,car,11.0,14.0
254,35.0,35.0,recreation,car,20.0,23.0
254,35.0,22.0,recreation,car,38.0,41.0
254,22.0,34.0,work,car,56.0,59.0
255,24.0,7.0,work,car,8.0,11.0
255,7.0,24.0,home,car,14.0,17.0
256,7.0,7.0,work,car,5.0,8.0
256,7.0,7.0,work,car,5.0,8.0
256,7.0,7.0,home,car,17.0,20.0
257,3.0,29.0,work,car,8.0,11.0
257,29.0,18.0,work,train,17.0,20.0
257,18.0,18.0,market,car,17.0,20.0
258,2.0,35.0,work,bus,5.0,8.0
258,35.0,35.0,work,bus,17.0,20.0
258,35.0,2.0,home,bus,17.0,20.0
259,22.0,31.0,work,car,5.0,8.0
259,31.0,22.0,work,car,14.0,17.0
260,19.0,21.0,work,car,8.0,11.0
260,21.0,21.0,work,car,8.0,11.0
260,21.0,19.0,home,car,17.0,20.0
261,19.0,3.0,work,bus,5.0,8.0
261,3.0,19.0,work,bus,17.0,20.0
261,19.0,1.0,work,train,17.0,20.0
262,22.0,2.0,work,train,8.0,11.0
262,2.0,22.0,home,train,17.0,20.0
263,30.0,28.0,work,bus,8.0,11.0
263,28.0,30.0,home,taxi,17.0,20.0
263,30.0,11.0,recreation,taxi,20.0,23.0
263,11.0,11.0,recreation,car,23.0,29.0
264,30.0,22.0,work,train,5.0,8.0
264,22.0,30.0,home,train,17.0,20.0
265,25.0,1.0,work,car,8.0,11.0
265,1.0,25.0,home,car,17.0,20.0
266,25.0,15.0,education,car,8.0,11.0
266,15.0,25.0,work,bus,14.0,17.0
266,25.0,25.0,home,walk,20.0,23.0
267,19.0,28.0,work,car,5.0,8.0
267,28.0,19.0,home,car,17.0,20.0
267,19.0,19.0,recreation,walk,20.0,23.0
268,29.0,22.0,work,car,11.0,14.0
268,22.0,29.0,home,car,17.0,20.0
269,35.0,30.0,work,train,8.0,11.0
269,30.0,35.0,home,train,17.0,20.0
270,35.0,1.0,work,car,8.0,11.0
270,1.0,35.0,home,car,20.0,23.0
271,28.0,28.0,recreation,bus,14.0,17.0
271,28.0,6.0,recreation,train,35.0,38.0
272,25.0,1.0,work,motorcycle,8.0,11.0
272,1.0,1.0,work,motorcycle,17.0,20.0
273,21.0,36.0,work,bus,5.0,8.0
273,36.0,2.0,work,bus,14.0,17.0
274,7.0,17.0,work,car,8.0,11.0
274,17.0,7.0,home,car,17.0,20.0
275,6.0,1.0,work,car,8.0,11.0
275,1.0,23.0,recreation,car,20.0,23.0
275,23.0,6.0,home,car,20.0,23.0
276,9.0,15.0,work,car,8.0,11.0
276,15.0,9.0,home,car,14.0,17.0
276,9.0,9.0,education,car,17.0,20.0
276,9.0,19.0,market,car,17.0,20.0
277,27.0,2.0,work,car,11.0,14.0
277,2.0,15.0,work,car,14.0,17.0
277,15.0,1.0,recreation,car,20.0,23.0
278,32.0,15.0,work,train,5.0,8.0
278,15.0,32.0,home,train,14.0,17.0
279,24.0,1.0,work,car,8.0,11.0
279,1.0,24.0,home,car,17.0,20.0
280,15.0,29.0,work,bus,8.0,11.0
280,29.0,15.0,home,train,17.0,20.0
280,15.0,15.0,market,walk,17.0,20.0
281,35.0,1.0,work,car,8.0,11.0
281,1.0,35.0,other,car,8.0,11.0
281,35.0,35.0,other,car,17.0,20.0
281,35.0,35.0,home,car,17.0,20.0
282,4.0,1.0,work,train,8.0,11.0
282,1.0,4.0,home,train,17.0,20.0
282,4.0,3.0,recreation,walk,17.0,20.0
283,19.0,15.0,education,train,5.0,8.0
283,15.0,19.0,home,train,14.0,17.0
283,19.0,19.0,work,walk,17.0,20.0
284,31.0,15.0,work,train,8.0,11.0
284,15.0,14.0,recreation,car,17.0,20.0
284,14.0,31.0,home,car,23.0,29.0
285,32.0,22.0,work,car,11.0,14.0
285,22.0,8.0,other,car,20.0,23.0
285,8.0,32.0,home,car,23.0,29.0
286,4.0,16.0,work,car,8.0,11.0
286,16.0,4.0,home,car,14.0,17.0
286,4.0,1.0,recreation,car,20.0,23.0
287,36.0,3.0,work,car,8.0,11.0
287,3.0,3.0,recreation,walk,17.0,20.0
287,3.0,1.0,recreation,walk,20.0,23.0
288,20.0,1.0,work,taxi,8.0,11.0
288,1.0,1.0,work,car,29.0,32.0
289,17.0,15.0,work,car,8.0,11.0
289,15.0,4.0,work,car,14.0,17.0
290,31.0,31.0,recreation,car,11.0,14.0
290,31.0,32.0,recreation,car,17.0,20.0
290,32.0,31.0,home,car,23.0,29.0
291,18.0,1.0,recreation,train,8.0,11.0
291,1.0,1.0,recreation,train,14.0,17.0
291,1.0,1.0,recreation,taxi,20.0,23.0
291,1.0,18.0,home,taxi,23.0,29.0
292,35.0,15.0,education,car,11.0,14.0
292,15.0,35.0,home,car,14.0,17.0
292,35.0,35.0,market,car,17.0,20.0
292,35.0,35.0,home,car,17.0,20.0
292,35.0,35.0,recreation,car,20.0,23.0
293,29.0,35.0,work,train,5.0,8.0
293,35.0,35.0,work,train,14.0,17.0
294,1.0,1.0,recreation,car,11.0,14.0
294,1.0,1.0,home,car,14.0,17.0
295,7.0,35.0,work,bus,5.0,8.0
295,35.0,7.0,home,bus,14.0,17.0
295,7.0,7.0,market,walk,14.0,17.0
296,7.0,34.0,work,car,8.0,11.0
296,34.0,24.0,market,car,17.0,20.0
296,24.0,2.0,other,car,17.0,20.0
296,2.0,7.0,home,car,20.0,23.0
297,15.0,15.0,education,train,8.0,11.0
297,15.0,1.0,education,train,17.0,20.0
298,1.0,22.0,work,train,8.0,11.0
298,22.0,1.0,home,train,14.0,17.0
299,32.0,35.0,work,motorcycle,8.0,11.0
299,35.0,22.0,work,motorcycle,17.0,20.0
300,30.0,22.0,work,car,8.0,11.0
300,22.0,30.0,home,car,20.0,23.0
301,1.0,1.0,work,train,8.0,11.0
301,1.0,1.0,home,train,17.0,20.0
301,1.0,1.0,recreation,walk,20.0,23.0
301,1.0,1.0,home,walk,20.0,23.0
302,25.0,35.0,work,train,8.0,11.0
302,35.0,25.0,home,train,17.0,20.0
303,25.0,1.0,work,taxi,8.0,11.0
303,1.0,25.0,home,taxi,17.0,20.0
304,32.0,26.0,work,car,8.0,11.0
304,26.0,22.0,work,car,11.0,14.0
305,18.0,18.0,recreation,walk,17.0,20.0
305,18.0,1.0,market,train,38.0,41.0
305,1.0,2.0,recreation,car,44.0,47.0
305,2.0,28.0,work,car,56.0,59.0
306,24.0,35.0,work,train,14.0,17.0
306,35.0,31.0,recreation,walk,20.0,23.0
307,20.0,25.0,work,train,8.0,11.0
307,25.0,28.0,market,train,17.0,20.0
307,28.0,28.0,recreation,walk,20.0,23.0
308,19.0,34.0,work,car,8.0,11.0
308,34.0,19.0,home,car,17.0,20.0
308,19.0,19.0,market,car,17.0,20.0
309,15.0,22.0,recreation,taxi,0.0,5.0
309,22.0,15.0,home,taxi,5.0,8.0
310,2.0,1.0,market,train,11.0,14.0
310,1.0,28.0,recreation,train,11.0,14.0
310,28.0,14.0,other,bus,17.0,20.0
311,35.0,35.0,other,train,17.0,20.0
311,35.0,36.0,recreation,train,29.0,32.0
312,31.0,4.0,work,bicycle,8.0,11.0
312,4.0,35.0,market,bicycle,17.0,20.0
313,35.0,35.0,work,car,11.0,14.0
313,35.0,35.0,home,car,23.0,29.0
314,19.0,15.0,work,train,8.0,11.0
314,15.0,1.0,recreation,bus,17.0,20.0
314,1.0,19.0,home,train,20.0,23.0
315,24.0,16.0,work,car,8.0,11.0
315,16.0,13.0,other,car,17.0,20.0
315,13.0,15.0,other,car,23.0,29.0
315,15.0,13.0,recreation,walk,38.0,41.0
316,22.0,34.0,work,car,5.0,8.0
316,34.0,22.0,home,car,14.0,17.0
316,22.0,35.0,education,car,17.0,20.0
316,35.0,22.0,home,car,17.0,20.0
317,22.0,36.0,work,car,8.0,11.0
317,36.0,22.0,home,car,17.0,20.0
318,15.0,15.0,recreation,motorcycle,11.0,14.0
318,15.0,29.0,market,motorcycle,11.0,14.0
319,26.0,13.0,work,car,5.0,8.0
319,13.0,30.0,other,car,11.0,14.0
320,5.0,35.0,work,car,5.0,8.0
320,35.0,5.0,home,car,11.0,14.0
320,5.0,1.0,other,car,14.0,17.0
320,1.0,14.0,recreation,car,14.0,17.0
321,35.0,29.0,education,train,8.0,11.0
321,29.0,35.0,recreation,car,14.0,17.0
321,35.0,35.0,home,bus,17.0,20.0
322,19.0,2.0,market,train,8.0,11.0
322,2.0,1.0,market,train,11.0,14.0
322,1.0,4.0,recreation,train,14.0,17.0
323,19.0,15.0,education,train,8.0,11.0
323,15.0,19.0,home,train,14.0,17.0
323,19.0,19.0,recreation,walk,20.0,23.0
324,22.0,29.0,work,train,8.0,11.0
324,29.0,1.0,work,train,14.0,17.0
324,1.0,22.0,work,train,17.0,20.0
324,22.0,22.0,home,taxi,20.0,23.0
325,1.0,1.0,recreation,train,8.0,11.0
325,1.0,1.0,recreation,train,11.0,14.0
325,1.0,34.0,recreation,walk,20.0,23.0
326,28.0,1.0,work,car,8.0,11.0
326,1.0,28.0,home,car,17.0,20.0
327,18.0,18.0,other,train,14.0,17.0
327,18.0,1.0,education,train,35.0,38.0
327,1.0,2.0,recreation,walk,41.0,44.0
328,11.0,11.0,work,car,5.0,8.0
328,11.0,22.0,work,car,5.0,8.0
328,22.0,11.0,home,car,17.0,20.0
329,2.0,24.0,work,motorcycle,8.0,11.0
329,24.0,24.0,market,motorcycle,17.0,20.0
330,7.0,32.0,work,car,8.0,11.0
