pid,gender,age,education,employment,income,car_own,home,dest1,purp1,mode1,dest2,purp2,mode2,dest3,purp3,mode3,dest4,purp4,mode4,dest5,purp5,mode5,min_time1,max_time1,min_time2,max_time2,min_time3,max_time3,min_time4,max_time4,min_time5,max_time5
464,1: male,62.0,4: master or phd,4: active,,1: yes,26.0,26,7: other,1: car,26,2: return home,1: car,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
465,0: feamale,20.0,3: bachelor,4: active,1: 750 or less,1: yes,22.0,22,5: recreation,1: car,22,2: return home,1: car,,,,,,,,,,20.0,23.0,23.0,29.0,,,,,,
466,0: feamale,23.0,4: master or phd,4: active,2: 750-1500,1: yes,35.0,1,5: recreation,4: train,35,2: return home,4: train,,,,,,,,,,11.0,14.0,20.0,23.0,,,,,,
467,1: male,19.0,3: bachelor,4: active,2: 750-1500,1: yes,18.0,15,7: other,1: car,18,2: return home,1: car,,,,,,,,,,8.0,11.0,8.0,11.0,,,,,,
468,0: feamale,45.0,2: high school,4: active,2: 750-1500,1: yes,7.0,4,1: work,7: walk,7,2: return home,2: taxi,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
469,1: male,28.0,3: bachelor,4: active,3: 1500-2500,0: no,7.0,25,1: work,4: train,7,2: return home,4: train,,,,,,,,,,8.0,11.0,20.0,23.0,,,,,,
470,0: feamale,29.0,4: master or phd,4: active,2: 750-1500,1: yes,30.0,15,1: work,4: train,30,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
471,1: male,26.0,2: high school,4: active,1: 750 or less,1: yes,4.0,1,1: work,3: bus,4,2: return home,3: bus,,,,,,,,,,11.0,14.0,20.0,23.0,,,,,,
472,1: male,25.0,3: bachelor,2: unemployed,0: no income,0: no,16.0,16,5: recreation,7: walk,16,5: recreation,7: walk,,,,,,,,,,14.0,17.0,14.0,17.0,,,,,,
473,1: male,38.0,3: bachelor,4: active,1: 750 or less,1: yes,35.0,35,7: other,4: train,35,1: work,3: bus,35.0,7: other,4: train,,,,,,,14.0,17.0,32.0,35.0,41.0,44.0,,,,
474,0: feamale,18.0,2: high school,3: student,2: 750-1500,1: yes,8.0,8,1: work,3: bus,8,3: education,4: train,8.0,4: market,3: bus,8.0,2: return home,3: bus,,,,8.0,11.0,8.0,11.0,11.0,14.0,17.0,20.0,,
475,1: male,26.0,3: bachelor,3: student,0: no income,0: no,7.0,35,1: work,4: train,7,2: return home,4: train,35.0,7: other,3: bus,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
476,0: feamale,35.0,3: bachelor,4: active,1: 750 or less,1: yes,17.0,36,7: other,1: car,17,2: return home,1: car,,,,,,,,,,14.0,17.0,14.0,17.0,,,,,,
477,0: feamale,64.0,3: bachelor,4: active,2: 750-1500,1: yes,7.0,21,1: work,4: train,7,2: return home,4: train,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
478,0: feamale,33.0,3: bachelor,4: active,1: 750 or less,0: no,21.0,28,1: work,3: bus,21,2: return home,3: bus,21.0,7: other,7: walk,,,,,,,20.0,23.0,29.0,32.0,38.0,41.0,,,,
479,0: feamale,24.0,4: master or phd,4: active,3: 1500-2500,1: yes,2.0,29,1: work,1: car,34,5: recreation,1: car,2.0,2: return home,1: car,,,,,,,8.0,11.0,17.0,20.0,23.0,29.0,,,,
480,1: male,31.0,4: master or phd,4: active,4: 2500 or more,1: yes,22.0,2,1: work,1: car,24,1: work,1: car,22.0,7: other,1: car,20.0,5: recreation,1: car,22.0,2: return home,1: car,8.0,11.0,14.0,17.0,17.0,20.0,20.0,23.0,23.0,29.0
481,0: feamale,29.0,3: bachelor,4: active,2: 750-1500,1: yes,30.0,30,1: work,7: walk,30,2: return home,7: walk,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
482,1: male,22.0,4: master or phd,4: active,3: 1500-2500,1: yes,26.0,15,1: work,1: car,11,1: work,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
483,0: feamale,25.0,3: bachelor,4: active,2: 750-1500,1: yes,12.0,7,1: work,1: car,7,1: work,1: car,1.0,5: recreation,4: train,,,,,,,8.0,11.0,14.0,17.0,20.0,23.0,,,,
484,0: feamale,26.0,4: master or phd,4: active,2: 750-1500,1: yes,20.0,29,1: work,1: car,2,5: recreation,1: car,20.0,2: return home,1: car,,,,,,,5.0,8.0,14.0,17.0,17.0,20.0,,,,
485,1: male,24.0,2: high school,3: student,1: 750 or less,1: yes,36.0,11,3: education,3: bus,36,2: return home,3: bus,,,,,,,,,,8.0,11.0,11.0,14.0,,,,,,
486,0: feamale,21.0,3: bachelor,4: active,2: 750-1500,1: yes,22.0,22,7: other,1: car,14,1: work,1: car,32.0,5: recreation,1: car,,,,,,,11.0,14.0,11.0,14.0,20.0,23.0,,,,
487,0: feamale,24.0,3: bachelor,4: active,1: 750 or less,0: no,14.0,22,1: work,1: car,35,4: market,1: car,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
488,0: feamale,26.0,3: bachelor,4: active,2: 750-1500,1: yes,36.0,36,5: recreation,1: car,36,4: market,1: car,,,,,,,,,,17.0,20.0,20.0,23.0,,,,,,
489,0: feamale,45.0,4: master or phd,4: active,,0: no,7.0,7,7: other,5: motorcycle,1,6: service,5: motorcycle,2.0,4: market,5: motorcycle,,,,,,,8.0,11.0,11.0,14.0,11.0,14.0,,,,
