pid,gender,age,education,employment,income,car_own,home,dest1,purp1,mode1,time1,dest2,purp2,mode2,time2,dest3,purp3,mode3,time3,dest4,purp4,mode4,time4,dest5,purp5,mode5,time5
125,1: male,26.0,2: high school,3: student,0: no income,0: no,21.0,36,4: market,3: bus,14,36,5: recreation,3: bus,18,36.0,5: recreation,3: bus,20.0,36.0,5: recreation,3: bus,1.0,,,,
126,1: male,18.0,3: bachelor,3: student,0: no income,1: yes,21.0,26,5: recreation,4: train,18,21,2: return home,4: train,0,,,,,,,,,,,,
127,0: feamale,46.0,2: high school,4: active,2: 750-1500,0: no,1.0,1,1: work,7: walk,14,15,1: work,3: bus,14,,,,,,,,,,,,
128,0: feamale,28.0,3: bachelor,4: active,2: 750-1500,0: no,2.0,7,3: education,3: bus,18,2,2: return home,3: bus,20,,,,,,,,,,,,
129,0: feamale,18.0,3: bachelor,4: active,1: 750 or less,1: yes,20.0,21,1: work,4: train,10,21,1: work,1: car,10,13.0,5: recreation,1: car,18.0,,,,,,,,
130,1: male,28.0,2: high school,3: student,0: no income,1: yes,2.0,15,3: education,7: walk,10,2,2: return home,7: walk,15,,,,,,,,,,,,
131,1: male,23.0,4: master or phd,4: active,3: 1500-2500,1: yes,20.0,22,1: work,4: train,10,20,5: recreation,7: walk,21,20.0,2: return home,4: train,18.0,,,,,,,,
132,0: feamale,22.0,3: bachelor,4: active,1: 750 or less,1: yes,35.0,15,1: work,4: train,10,1,3: education,4: train,14,35.0,2: return home,4: train,20.0,22.0,5: recreation,1: car,20.0,35.0,2: return home,1: car,4.0
133,0: feamale,28.0,3: bachelor,4: active,2: 750-1500,1: yes,1.0,5,3: education,4: train,15,1,2: return home,4: train,21,5.0,5: recreation,1: car,21.0,,,,,,,,
134,0: feamale,20.0,3: bachelor,4: active,2: 750-1500,1: yes,17.0,1,1: work,1: car,10,29,5: recreation,1: car,19,14.0,5: recreation,1: car,22.0,17.0,2: return home,1: car,4.0,,,,
135,1: male,27.0,2: high school,3: student,1: 750 or less,1: yes,15.0,28,5: recreation,3: bus,15,15,2: return home,3: bus,18,,,,,,,,,,,,
136,1: male,25.0,2: high school,3: student,2: 750-1500,1: yes,17.0,17,4: market,1: car,18,17,5: recreation,1: car,18,17.0,2: return home,1: car,21.0,,,,,,,,
137,1: male,33.0,4: master or phd,4: active,2: 750-1500,1: yes,7.0,29,1: work,1: car,10,7,2: return home,1: car,18,5.0,3: education,1: car,20.0,,,,,,,,
138,1: male,41.0,4: master or phd,4: active,4: 2500 or more,1: yes,22.0,15,1: work,1: car,9,22,2: return home,1: car,18,,,,,,,,,,,,
139,1: male,26.0,3: bachelor,3: student,0: no income,0: no,8.0,21,4: market,4: train,14,22,5: recreation,4: train,21,8.0,2: return home,2: taxi,3.0,,,,,,,,
140,0: feamale,26.0,3: bachelor,4: active,2: 750-1500,0: no,2.0,15,1: work,3: bus,10,2,2: return home,4: train,16,11.0,7: other,4: train,22.0,2.0,2: return home,2: taxi,0.0,,,,
141,1: male,19.0,4: master or phd,4: active,2: 750-1500,1: yes,2.0,15,1: work,1: car,12,2,2: return home,1: car,18,,,,,,,,,,,,
142,0: feamale,24.0,3: bachelor,4: active,1: 750 or less,1: yes,36.0,35,1: work,5: motorcycle,8,5,3: education,5: motorcycle,18,,,,,,,,,,,,
143,0: feamale,59.0,3: bachelor,1: inactive,1: 750 or less,1: yes,22.0,22,7: other,3: bus,16,22,7: other,2: taxi,16,,,,,,,,,,,,
144,0: feamale,24.0,3: bachelor,4: active,2: 750-1500,1: yes,1.0,13,5: recreation,3: bus,15,1,2: return home,3: bus,18,,,,,,,,,,,,
145,0: feamale,22.0,4: master or phd,4: active,2: 750-1500,1: yes,19.0,31,1: work,1: car,10,19,2: return home,1: car,17,,,,,,,,,,,,
146,0: feamale,24.0,3: bachelor,3: student,0: no income,1: yes,11.0,3,1: work,1: car,9,11,2: return home,1: car,22,3.0,1: work,1: car,9.0,11.0,2: return home,1: car,19.0,,,,
147,1: male,24.0,3: bachelor,3: student,0: no income,1: yes,25.0,28,7: other,1: car,15,25,2: return home,1: car,15,,,,,,,,,,,,
148,1: male,34.0,3: bachelor,4: active,2: 750-1500,1: yes,1.0,1,1: work,1: car,10,1,2: return home,1: car,19,35.0,5: recreation,1: car,20.0,1.0,2: return home,1: car,0.0,,,,
149,0: feamale,23.0,4: master or phd,4: active,2: 750-1500,0: no,25.0,29,1: work,4: train,7,4,5: recreation,7: walk,19,,,,,,,,,,,,
150,0: feamale,25.0,4: master or phd,4: active,3: 1500-2500,1: yes,16.0,22,1: work,1: car,8,22,1: work,1: car,8,16.0,2: return home,1: car,17.0,,,,,,,,
151,0: feamale,19.0,4: master or phd,3: student,0: no income,1: yes,15.0,29,1: work,3: bus,10,2,4: market,3: bus,19,15.0,2: return home,2: taxi,22.0,,,,,,,,
152,0: feamale,26.0,4: master or phd,4: active,,1: yes,22.0,21,1: work,1: car,8,22,2: return home,1: car,17,,,,,,,,,,,,
153,0: feamale,20.0,4: master or phd,4: active,2: 750-1500,1: yes,22.0,1,6: service,4: train,10,22,2: return home,4: train,19,,,,,,,,,,,,
154,1: male,36.0,4: master or phd,4: active,,1: yes,29.0,29,1: work,1: car,8,5,1: work,1: car,13,,,,,,,,,,,,
155,0: feamale,20.0,3: bachelor,4: active,2: 750-1500,0: no,29.0,12,1: work,1: car,6,12,1: work,1: car,6,12.0,5: recreation,1: car,19.0,,,,,,,,
156,0: feamale,28.0,2: high school,3: student,0: no income,1: yes,20.0,30,7: other,1: car,17,20,7: other,1: car,2,15.0,3: education,1: car,11.0,20.0,2: return home,1: car,14.0,,,,
157,0: feamale,26.0,3: bachelor,3: student,1: 750 or less,1: yes,32.0,20,1: work,3: bus,9,32,7: other,4: train,12,10.0,1: work,3: bus,12.0,,,,,,,,
158,0: feamale,62.0,3: bachelor,4: active,2: 750-1500,1: yes,24.0,15,1: work,1: car,5,24,2: return home,1: car,15,,,,,,,,,,,,
159,0: feamale,27.0,4: master or phd,4: active,2: 750-1500,0: no,4.0,15,1: work,3: bus,10,35,1: work,3: bus,17,,,,,,,,,,,,
160,1: male,54.0,3: bachelor,1: inactive,2: 750-1500,1: yes,25.0,16,4: market,5: motorcycle,13,16,7: other,1: car,13,,,,,,,,,,,,
161,1: male,38.0,4: master or phd,4: active,2: 750-1500,1: yes,21.0,18,1: work,1: car,9,15,4: market,1: car,14,5.0,1: work,1: car,14.0,,,,,,,,
162,0: feamale,26.0,4: master or phd,4: active,2: 750-1500,1: yes,2.0,12,1: work,1: car,9,2,2: return home,1: car,18,,,,,,,,,,,,
163,0: feamale,28.0,4: master or phd,4: active,2: 750-1500,1: yes,15.0,22,1: work,1: car,10,15,2: return home,1: car,17,,,,,,,,,,,,
164,1: male,26.0,3: bachelor,4: active,2: 750-1500,1: yes,21.0,15,1: work,4: train,5,21,2: return home,4: train,17,,,,,,,,,,,,
165,1: male,78.0,2: high school,1: inactive,2: 750-1500,1: yes,22.0,1,5: recreation,4: train,12,22,2: return home,4: train,17,,,,,,,,,,,,
166,0: feamale,20.0,4: master or phd,4: active,3: 1500-2500,1: yes,34.0,34,5: recreation,1: car,19,1,7: other,1: car,22,,,,,,,,,,,,
167,1: male,28.0,4: master or phd,4: active,,1: yes,26.0,25,1: work,5: motorcycle,8,26,2: return home,5: motorcycle,21,,,,,,,,,,,,
168,1: male,35.0,4: master or phd,4: active,2: 750-1500,0: no,7.0,15,1: work,2: taxi,8,7,2: return home,3: bus,19,1.0,5: recreation,7: walk,22.0,7.0,2: return home,2: taxi,2.0,,,,
169,0: feamale,27.0,4: master or phd,3: student,1: 750 or less,1: yes,36.0,35,5: recreation,1: car,14,36,4: market,1: car,19,35.0,3: education,2: taxi,11.0,36.0,2: return home,1: car,22.0,,,,
170,1: male,32.0,3: bachelor,4: active,2: 750-1500,1: yes,23.0,35,5: recreation,1: car,16,3,5: recreation,1: car,22,23.0,2: return home,1: car,4.0,,,,,,,,
171,0: feamale,28.0,4: master or phd,4: active,2: 750-1500,1: yes,19.0,32,1: work,1: car,9,19,2: return home,1: car,19,32.0,5: recreation,1: car,20.0,,,,,,,,
172,0: feamale,32.0,3: bachelor,4: active,2: 750-1500,1: yes,30.0,25,1: work,7: walk,13,30,2: return home,7: walk,18,,,,,,,,,,,,
173,1: male,39.0,3: bachelor,4: active,2: 750-1500,1: yes,30.0,35,1: work,1: car,8,15,5: recreation,1: car,19,30.0,2: return home,1: car,21.0,30.0,4: market,7: walk,21.0,,,,
174,0: feamale,31.0,3: bachelor,4: active,2: 750-1500,1: yes,1.0,8,1: work,1: car,9,30,4: market,1: car,20,30.0,5: recreation,7: walk,0.0,10.0,7: other,1: car,16.0,,,,
175,0: feamale,20.0,4: master or phd,4: active,1: 750 or less,1: yes,30.0,30,1: work,7: walk,13,30,1: work,5: motorcycle,18,30.0,2: return home,5: motorcycle,18.0,30.0,1: work,5: motorcycle,18.0,30.0,2: return home,5: motorcycle,4.0
176,0: feamale,60.0,2: high school,4: active,2: 750-1500,0: no,32.0,30,1: work,3: bus,5,30,1: work,3: bus,15,,,,,,,,,,,,
177,0: feamale,28.0,2: high school,3: student,0: no income,1: yes,34.0,34,5: recreation,7: walk,18,2,5: recreation,1: car,1,,,,,,,,,,,,
178,1: male,32.0,3: bachelor,4: active,2: 750-1500,1: yes,30.0,17,1: work,1: car,6,30,2: return home,1: car,15,,,,,,,,,,,,
179,1: male,18.0,3: bachelor,4: active,2: 750-1500,1: yes,9.0,30,1: work,1: car,10,30,1: work,1: car,10,,,,,,,,,,,,
180,0: feamale,39.0,2: high school,4: active,2: 750-1500,1: yes,5.0,23,1: work,1: car,10,25,1: work,1: car,10,,,,,,,,,,,,
181,0: feamale,46.0,3: bachelor,4: active,,0: no,19.0,2,1: work,4: train,6,2,1: work,4: train,6,,,,,,,,,,,,
182,0: feamale,43.0,4: master or phd,4: active,3: 1500-2500,1: yes,34.0,35,7: other,1: car,11,34,2: return home,1: car,11,,,,,,,,,,,,
183,0: feamale,20.0,2: high school,3: student,0: no income,1: yes,28.0,28,7: other,7: walk,21,25,1: work,7: walk,10,25.0,5: recreation,7: walk,19.0,25.0,4: market,3: bus,19.0,25.0,7: other,3: bus,19.0
184,1: male,49.0,2: high school,4: active,3: 1500-2500,1: yes,2.0,34,1: work,1: car,5,2,2: return home,1: car,16,,,,,,,,,,,,
185,0: feamale,26.0,2: high school,3: student,0: no income,1: yes,21.0,21,3: education,4: train,10,21,2: return home,4: train,17,,,,,,,,,,,,
186,0: feamale,46.0,3: bachelor,4: active,2: 750-1500,1: yes,33.0,28,1: work,4: train,5,22,1: work,4: train,5,28.0,1: work,4: train,14.0,28.0,5: recreation,1: car,19.0,,,,
187,0: feamale,36.0,4: master or phd,4: active,3: 1500-2500,1: yes,29.0,1,1: work,1: car,6,29,2: return home,1: car,14,18.0,5: recreation,1: car,14.0,,,,,,,,
188,1: male,36.0,4: master or phd,4: active,,0: no,35.0,29,1: work,4: train,10,21,1: work,4: train,19,,,,,,,,,,,,
189,0: feamale,32.0,3: bachelor,4: active,1: 750 or less,1: yes,1.0,1,1: work,3: bus,9,1,2: return home,3: bus,16,,,,,,,,,,,,
190,,,4: master or phd,4: active,,1: yes,34.0,28,1: work,1: car,6,5,1: work,1: car,17,,,,,,,,,,,,
191,1: male,45.0,2: high school,4: active,2: 750-1500,1: yes,7.0,28,1: work,4: train,6,7,2: return home,4: train,19,,,,,,,,,,,,
192,0: feamale,25.0,3: bachelor,4: active,1: 750 or less,1: yes,21.0,7,1: work,4: train,8,21,2: return home,4: train,16,35.0,7: other,4: train,21.0,,,,,,,,
193,1: male,56.0,3: bachelor,4: active,,0: no,6.0,35,7: other,2: taxi,18,6,2: return home,2: taxi,20,,,,,,,,,,,,
194,1: male,19.0,3: bachelor,4: active,2: 750-1500,1: yes,7.0,6,1: work,3: bus,9,7,1: work,3: bus,9,7.0,2: return home,3: bus,18.0,,,,,,,,
195,1: male,35.0,4: master or phd,4: active,2: 750-1500,1: yes,21.0,30,1: work,1: car,8,21,2: return home,1: car,18,,,,,,,,,,,,
196,0: feamale,33.0,4: master or phd,4: active,2: 750-1500,1: yes,12.0,1,1: work,1: car,7,12,4: market,1: car,16,12.0,2: return home,1: car,17.0,,,,,,,,
197,1: male,20.0,3: bachelor,4: active,3: 1500-2500,0: no,21.0,21,7: other,3: bus,14,35,7: other,3: bus,19,,,,,,,,,,,,
198,1: male,39.0,4: master or phd,4: active,2: 750-1500,0: no,7.0,21,1: work,3: bus,9,7,2: return home,3: bus,19,,,,,,,,,,,,
199,0: feamale,48.0,4: master or phd,4: active,3: 1500-2500,1: yes,35.0,1,1: work,1: car,9,35,2: return home,1: car,17,19.0,6: service,1: car,13.0,1.0,1: work,1: car,13.0,,,,
200,1: male,25.0,4: master or phd,4: active,3: 1500-2500,1: yes,30.0,3,5: recreation,1: car,12,1,5: recreation,7: walk,16,30.0,2: return home,1: car,19.0,,,,,,,,
201,1: male,22.0,3: bachelor,4: active,2: 750-1500,1: yes,10.0,8,1: work,1: car,9,17,1: work,1: car,18,8.0,5: recreation,1: car,20.0,8.0,5: recreation,1: car,20.0,,,,
202,1: male,35.0,4: master or phd,4: active,2: 750-1500,1: yes,36.0,31,1: work,1: car,8,14,7: other,1: car,17,,,,,,,,,,,,
203,0: feamale,44.0,3: bachelor,4: active,2: 750-1500,1: yes,9.0,3,1: work,4: train,7,30,4: market,3: bus,14,36.0,7: other,3: bus,14.0,,,,,,,,
204,0: feamale,59.0,4: master or phd,4: active,,1: yes,22.0,1,7: other,1: car,12,22,2: return home,1: car,12,,,,,,,,,,,,
205,0: feamale,23.0,3: bachelor,4: active,0: no income,1: yes,7.0,31,1: work,1: car,10,31,1: work,1: car,19,7.0,2: return home,1: car,19.0,7.0,4: market,7: walk,16.0,,,,
206,0: feamale,47.0,3: bachelor,4: active,2: 750-1500,0: no,5.0,5,4: market,7: walk,11,5,4: market,7: walk,11,,,,,,,,,,,,
207,0: feamale,37.0,4: master or phd,4: active,2: 750-1500,1: yes,7.0,29,1: work,1: car,8,7,2: return home,1: car,17,22.0,5: recreation,1: car,22.0,7.0,2: return home,1: car,22.0,,,,
208,0: feamale,47.0,4: master or phd,4: active,3: 1500-2500,1: yes,1.0,1,4: market,1: car,8,11,4: market,1: car,13,1.0,1: work,1: car,21.0,1.0,2: return home,1: car,2.0,,,,
209,0: feamale,44.0,3: bachelor,4: active,2: 750-1500,1: yes,13.0,22,3: education,4: train,12,13,2: return home,4: train,12,,,,,,,,,,,,
210,1: male,31.0,4: master or phd,4: active,2: 750-1500,0: no,1.0,6,5: recreation,7: walk,11,26,5: recreation,4: train,14,1.0,2: return home,4: train,20.0,,,,,,,,
211,0: feamale,23.0,3: bachelor,4: active,1: 750 or less,1: yes,2.0,10,1: work,4: train,8,2,2: return home,4: train,18,,,,,,,,,,,,
212,0: feamale,62.0,4: master or phd,4: active,2: 750-1500,1: yes,34.0,34,3: education,3: bus,15,1,3: education,3: bus,15,,,,,,,,,,,,
213,1: male,51.0,4: master or phd,4: active,2: 750-1500,1: yes,28.0,28,7: other,1: car,11,7,7: other,1: car,19,28.0,2: return home,1: car,20.0,,,,,,,,
214,0: feamale,18.0,2: high school,3: student,1: 750 or less,1: yes,18.0,1,4: market,4: train,16,1,5: recreation,7: walk,17,2.0,1: work,4: train,17.0,18.0,2: return home,4: train,2.0,,,,
215,1: male,46.0,3: bachelor,4: active,3: 1500-2500,1: yes,26.0,22,1: work,3: bus,10,26,2: return home,3: bus,18,32.0,5: recreation,1: car,18.0,30.0,7: other,1: car,22.0,26.0,2: return home,1: car,0.0
216,1: male,23.0,2: high school,4: active,1: 750 or less,1: yes,18.0,4,1: work,4: train,8,18,2: return home,4: train,17,,,,,,,,,,,,
217,0: feamale,33.0,4: master or phd,4: active,3: 1500-2500,1: yes,18.0,24,4: market,1: car,8,24,5: recreation,7: walk,18,,,,,,,,,,,,
218,0: feamale,23.0,3: bachelor,,1: 750 or less,1: yes,24.0,28,1: work,1: car,5,24,2: return home,1: car,14,,,,,,,,,,,,
219,1: male,49.0,4: master or phd,4: active,,1: yes,32.0,30,1: work,1: car,10,28,5: recreation,1: car,19,28.0,4: market,1: car,21.0,,,,,,,,
220,0: feamale,49.0,4: master or phd,4: active,,1: yes,28.0,28,3: education,1: car,8,28,5: recreation,1: car,18,28.0,5: recreation,1: car,21.0,,,,,,,,
221,0: feamale,36.0,3: bachelor,4: active,2: 750-1500,1: yes,2.0,4,1: work,1: car,9,24,1: work,1: car,12,3.0,1: work,1: car,12.0,35.0,1: work,1: car,14.0,,,,
222,1: male,58.0,3: bachelor,4: active,3: 1500-2500,1: yes,32.0,4,1: work,1: car,9,32,2: return home,1: car,18,32.0,7: other,1: car,18.0,,,,,,,,
223,0: feamale,35.0,4: master or phd,4: active,2: 750-1500,1: yes,11.0,11,5: recreation,1: car,11,17,5: recreation,1: car,11,,,,,,,,,,,,
224,1: male,24.0,4: master or phd,4: active,2: 750-1500,0: no,2.0,25,5: recreation,4: train,16,2,2: return home,7: walk,17,,,,,,,,,,,,
225,1: male,37.0,4: master or phd,4: active,2: 750-1500,1: yes,1.0,1,5: recreation,3: bus,21,12,7: other,1: car,9,11.0,6: service,1: car,19.0,,,,,,,,
226,0: feamale,35.0,3: bachelor,4: active,2: 750-1500,1: yes,7.0,7,1: work,3: bus,8,7,2: return home,7: walk,17,1.0,4: market,7: walk,17.0,,,,,,,,
227,0: feamale,35.0,4: master or phd,4: active,4: 2500 or more,1: yes,7.0,31,1: work,5: motorcycle,8,1,1: work,5: motorcycle,8,30.0,5: recreation,5: motorcycle,20.0,,,,,,,,
228,0: feamale,49.0,4: master or phd,4: active,,1: yes,22.0,22,5: recreation,1: car,11,5,5: recreation,1: car,14,22.0,2: return home,1: car,19.0,,,,,,,,
229,0: feamale,43.0,3: bachelor,4: active,2: 750-1500,1: yes,28.0,6,1: work,1: car,8,18,3: education,1: car,14,30.0,3: education,1: car,14.0,28.0,2: return home,1: car,18.0,,,,
230,1: male,35.0,4: master or phd,4: active,2: 750-1500,1: yes,35.0,35,5: recreation,7: walk,22,35,2: return home,7: walk,22,,,,,,,,,,,,
231,0: feamale,36.0,4: master or phd,4: active,2: 750-1500,1: yes,14.0,1,1: work,4: train,10,1,5: recreation,4: train,22,,,,,,,,,,,,
232,1: male,35.0,3: bachelor,4: active,1: 750 or less,0: no,5.0,1,1: work,1: car,10,5,2: return home,1: car,18,5.0,4: market,1: car,18.0,,,,,,,,
233,0: feamale,32.0,4: master or phd,4: active,2: 750-1500,1: yes,4.0,28,1: work,1: car,10,4,2: return home,1: car,18,,,,,,,,,,,,
234,1: male,27.0,2: high school,3: student,1: 750 or less,1: yes,3.0,3,5: recreation,4: train,3,1,4: market,3: bus,12,,,,,,,,,,,,
235,0: feamale,37.0,4: master or phd,4: active,4: 2500 or more,1: yes,22.0,1,1: work,4: train,10,22,2: return home,4: train,16,,,,,,,,,,,,
236,0: feamale,49.0,3: bachelor,4: active,3: 1500-2500,1: yes,14.0,28,1: work,4: train,9,24,1: work,4: train,9,16.0,7: other,4: train,18.0,,,,,,,,
237,0: feamale,43.0,4: master or phd,4: active,2: 750-1500,1: yes,25.0,25,7: other,7: walk,7,1,1: work,4: train,9,25.0,7: other,4: train,13.0,31.0,7: other,1: car,13.0,25.0,2: return home,1: car,13.0
238,0: feamale,38.0,4: master or phd,4: active,2: 750-1500,1: yes,5.0,1,1: work,3: bus,10,5,2: return home,3: bus,19,,,,,,,,,,,,
239,1: male,25.0,4: master or phd,4: active,2: 750-1500,1: yes,12.0,30,1: work,1: car,5,35,1: work,1: car,8,,,,,,,,,,,,
240,0: feamale,38.0,4: master or phd,4: active,1: 750 or less,0: no,25.0,1,1: work,4: train,8,25,2: return home,4: train,15,,,,,,,,,,,,
241,1: male,54.0,4: master or phd,4: active,3: 1500-2500,0: no,21.0,21,1: work,6: bicycle,9,21,2: return home,6: bicycle,18,,,,,,,,,,,,
242,0: feamale,61.0,3: bachelor,4: active,2: 750-1500,1: yes,32.0,16,1: work,4: train,5,32,2: return home,4: train,15,,,,,,,,,,,,
243,0: feamale,37.0,4: master or phd,4: active,2: 750-1500,1: yes,25.0,22,1: work,1: car,6,25,2: return home,1: car,15,,,,,,,,,,,,
244,0: feamale,62.0,3: bachelor,4: active,,1: yes,7.0,22,1: work,1: car,11,1,4: market,7: walk,18,,,,,,,,,,,,
245,1: male,42.0,3: bachelor,4: active,,1: yes,31.0,28,5: recreation,1: car,8,31,2: return home,1: car,19,22.0,5: recreation,1: car,21.0,,,,,,,,
246,0: feamale,26.0,4: master or phd,4: active,1: 750 or less,0: no,7.0,2,5: recreation,3: bus,15,7,2: return home,7: walk,17,,,,,,,,,,,,
247,1: male,44.0,3: bachelor,4: active,2: 750-1500,1: yes,32.0,35,1: work,1: car,7,28,1: work,1: car,16,,,,,,,,,,,,
248,0: feamale,36.0,4: master or phd,4: active,2: 750-1500,1: yes,7.0,3,1: work,7: walk,5,7,2: return home,7: walk,15,34.0,5: recreation,7: walk,17.0,1.0,5: recreation,7: walk,21.0,,,,
249,0: feamale,48.0,4: master or phd,4: active,1: 750 or less,1: yes,10.0,26,1: work,1: car,13,1,1: work,7: walk,13,1.0,1: work,1: car,15.0,,,,,,,,
250,0: feamale,23.0,4: master or phd,4: active,2: 750-1500,1: yes,1.0,1,5: recreation,7: walk,17,22,7: other,1: car,17,,,,,,,,,,,,
251,0: feamale,47.0,3: bachelor,4: active,2: 750-1500,1: yes,9.0,1,1: work,1: car,9,9,2: return home,1: car,17,,,,,,,,,,,,
252,1: male,48.0,3: bachelor,4: active,2: 750-1500,1: yes,19.0,1,1: work,4: train,9,19,2: return home,4: train,17,,,,,,,,,,,,
253,1: male,57.0,3: bachelor,4: active,3: 1500-2500,1: yes,21.0,1,1: work,1: car,9,21,2: return home,1: car,20,1.0,1: work,7: walk,12.0,,,,,,,,
254,0: feamale,61.0,4: master or phd,4: active,3: 1500-2500,1: yes,35.0,35,5: recreation,1: car,11,35,5: recreation,1: car,22,22.0,5: recreation,1: car,15.0,34.0,1: work,1: car,8.0,,,,
255,0: feamale,21.0,4: master or phd,4: active,2: 750-1500,1: yes,24.0,7,1: work,1: car,8,24,2: return home,1: car,15,,,,,,,,,,,,
256,1: male,44.0,3: bachelor,4: active,3: 1500-2500,1: yes,7.0,7,1: work,1: car,7,7,1: work,1: car,7,7.0,2: return home,1: car,19.0,,,,,,,,
257,,,,4: active,,1: yes,3.0,29,1: work,1: car,9,18,1: work,4: train,19,18.0,4: market,1: car,19.0,,,,,,,,
258,0: feamale,25.0,2: high school,4: active,1: 750 or less,0: no,2.0,35,1: work,3: bus,7,35,1: work,3: bus,18,2.0,2: return home,3: bus,18.0,,,,,,,,
259,0: feamale,44.0,4: master or phd,4: active,2: 750-1500,1: yes,22.0,31,1: work,1: car,5,22,1: work,1: car,14,,,,,,,,,,,,
260,1: male,64.0,3: bachelor,4: active,3: 1500-2500,1: yes,19.0,21,1: work,1: car,9,21,1: work,1: car,9,19.0,2: return home,1: car,18.0,,,,,,,,
261,0: feamale,45.0,3: bachelor,4: active,2: 750-1500,1: yes,19.0,3,1: work,3: bus,6,19,1: work,3: bus,18,1.0,1: work,4: train,18.0,,,,,,,,
262,1: male,58.0,3: bachelor,4: active,2: 750-1500,0: no,22.0,2,1: work,4: train,9,22,2: return home,4: train,18,,,,,,,,,,,,
263,0: feamale,34.0,3: bachelor,4: active,2: 750-1500,1: yes,30.0,28,1: work,3: bus,10,30,2: return home,2: taxi,18,11.0,5: recreation,2: taxi,22.0,11.0,5: recreation,1: car,1.0,,,,
